1,M,NULL,NULL,NULL,NULL,NULL,2
2,M,NULL,NULL,NULL,NULL,NULL,1
3,F,NULL,NULL,NULL,NULL,NULL,NULL
4,F,NULL,NULL,NULL,NULL,NULL,NULL
5,M,NULL,NULL,NULL,NULL,NULL,NULL
6,M,NULL,114943251851302,"Pittsburgh, Pennsylvania",105479049486624,"Ann Arbor, Michigan",NULL
7,F,NULL,NULL,NULL,NULL,NULL,NULL
8,M,NULL,NULL,NULL,NULL,NULL,NULL
9,M,NULL,NULL,NULL,NULL,NULL,1
10,M,NULL,NULL,NULL,NULL,NULL,NULL
11,M,NULL,NULL,NULL,NULL,NULL,NULL
12,M,NULL,NULL,NULL,NULL,NULL,7
13,M,NULL,NULL,NULL,NULL,NULL,NULL
14,M,NULL,NULL,NULL,NULL,NULL,NULL
15,M,NULL,NULL,NULL,NULL,NULL,NULL
16,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,M,NULL,NULL,NULL,NULL,NULL,NULL
18,M,NULL,NULL,NULL,NULL,NULL,9
19,M,NULL,NULL,NULL,NULL,NULL,NULL
20,F,NULL,NULL,NULL,NULL,NULL,NULL
21,M,NULL,NULL,NULL,NULL,NULL,1
22,M,1976,110432202311659,"Lisbon, Portugal",110432202311659,"Lisbon, Portugal",NULL
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,M,NULL,NULL,NULL,NULL,NULL,23
25,M,NULL,NULL,NULL,NULL,NULL,2
26,M,NULL,NULL,NULL,NULL,NULL,19
27,M,NULL,NULL,NULL,NULL,NULL,18
28,M,NULL,NULL,NULL,NULL,NULL,NULL
29,F,NULL,NULL,NULL,NULL,NULL,4
30,M,NULL,NULL,NULL,NULL,NULL,NULL
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,M,NULL,NULL,NULL,NULL,NULL,NULL
33,F,NULL,NULL,NULL,NULL,NULL,NULL
34,M,NULL,NULL,NULL,NULL,NULL,NULL
35,M,NULL,NULL,NULL,NULL,NULL,NULL
36,M,1972,106287062743373,"Barcelona, Spain",106287062743373,"Barcelona, Spain",NULL
37,F,NULL,NULL,NULL,NULL,NULL,NULL
38,F,NULL,NULL,NULL,NULL,NULL,25
39,M,NULL,NULL,NULL,NULL,NULL,NULL
40,F,NULL,NULL,NULL,NULL,NULL,NULL
41,M,NULL,NULL,NULL,NULL,NULL,NULL
42,F,NULL,NULL,NULL,NULL,NULL,NULL
43,M,NULL,NULL,NULL,NULL,NULL,NULL
44,M,NULL,NULL,NULL,NULL,NULL,24
45,F,NULL,NULL,NULL,NULL,NULL,NULL
46,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,M,NULL,NULL,NULL,NULL,NULL,NULL
48,F,NULL,NULL,NULL,NULL,NULL,NULL
49,M,NULL,NULL,NULL,NULL,NULL,NULL
50,F,NULL,NULL,NULL,NULL,NULL,17
51,M,NULL,NULL,NULL,NULL,NULL,NULL
52,M,NULL,NULL,NULL,NULL,NULL,NULL
53,F,NULL,NULL,NULL,NULL,NULL,NULL
54,M,NULL,108288922533323,"Fullerton, California",112850022062137,"Yarrow Point, Washington",2
55,M,NULL,NULL,NULL,NULL,NULL,25
56,M,NULL,NULL,NULL,NULL,NULL,NULL
57,M,NULL,NULL,NULL,NULL,NULL,NULL
58,M,NULL,NULL,NULL,NULL,NULL,NULL
59,F,NULL,NULL,NULL,NULL,NULL,6
60,F,NULL,NULL,NULL,NULL,NULL,NULL
61,M,NULL,NULL,NULL,NULL,NULL,NULL
62,M,NULL,NULL,NULL,NULL,NULL,NULL
63,F,NULL,NULL,NULL,NULL,NULL,4
64,F,NULL,NULL,NULL,NULL,NULL,NULL
65,M,NULL,NULL,NULL,NULL,NULL,25
66,M,NULL,NULL,NULL,NULL,NULL,NULL
67,M,NULL,NULL,NULL,NULL,NULL,25
68,F,NULL,NULL,NULL,NULL,NULL,NULL
69,M,NULL,NULL,NULL,NULL,NULL,NULL
70,F,NULL,NULL,NULL,NULL,NULL,NULL
71,F,NULL,NULL,NULL,NULL,NULL,NULL
72,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,F,NULL,NULL,NULL,NULL,NULL,NULL
74,M,NULL,NULL,NULL,NULL,NULL,2
75,F,NULL,NULL,NULL,NULL,NULL,NULL
76,F,NULL,NULL,NULL,NULL,NULL,NULL
77,F,NULL,NULL,NULL,NULL,NULL,NULL
78,F,NULL,NULL,NULL,NULL,NULL,NULL
79,M,NULL,116419668368630,Sentjost nad Horjulom,104022926303756,"Palo Alto, California",NULL
80,F,NULL,NULL,NULL,NULL,NULL,NULL
81,F,NULL,NULL,NULL,NULL,NULL,NULL
82,M,NULL,NULL,NULL,NULL,NULL,NULL
83,F,NULL,NULL,NULL,NULL,NULL,NULL
84,M,NULL,NULL,NULL,NULL,NULL,1
85,M,NULL,NULL,NULL,NULL,NULL,1
86,F,NULL,NULL,NULL,NULL,NULL,2
87,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,M,NULL,NULL,NULL,NULL,NULL,1
89,F,NULL,NULL,NULL,NULL,NULL,NULL
90,M,NULL,NULL,NULL,NULL,NULL,5
91,M,NULL,NULL,NULL,NULL,NULL,NULL
92,M,NULL,NULL,NULL,NULL,NULL,1
93,M,NULL,NULL,NULL,NULL,NULL,NULL
94,M,NULL,NULL,NULL,NULL,NULL,NULL
95,F,NULL,NULL,NULL,NULL,NULL,NULL
96,M,NULL,NULL,NULL,NULL,NULL,NULL
97,M,NULL,NULL,NULL,NULL,NULL,NULL
98,M,NULL,NULL,NULL,NULL,NULL,NULL
99,F,NULL,NULL,NULL,NULL,NULL,NULL
100,F,NULL,NULL,NULL,NULL,NULL,2
